排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.8,10,84.8%,88.6%,24.8%,63.8%,0.0923,0.1526,0.3358,0.1060,0.1174,0.1736,52.7%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.9,10,84.8%,88.6%,25.8%,62.8%,0.0923,0.1526,0.3535,0.1060,0.1174,0.1840,52.3%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.1,10,84.8%,88.6%,76.6%,12.0%,0.0923,0.1526,0.1891,0.1060,0.1174,0.1496,41.1%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.2,10,84.8%,88.6%,66.6%,22.0%,0.0923,0.1526,0.2131,0.1060,0.1174,0.1645,44.6%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.3,10,84.8%,88.6%,58.8%,29.8%,0.0923,0.1526,0.2139,0.1060,0.1174,0.1421,48.8%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.4,10,84.8%,88.6%,54.2%,34.4%,0.0923,0.1526,0.2173,0.1060,0.1174,0.1310,50.6%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.5,10,84.8%,88.6%,44.2%,44.4%,0.0923,0.1526,0.2524,0.1060,0.1174,0.1543,50.0%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.6,10,84.8%,88.6%,38.6%,50.0%,0.0923,0.1526,0.2678,0.1060,0.1174,0.1568,51.0%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.7,10,84.8%,88.6%,33.4%,55.2%,0.0923,0.1526,0.2858,0.1060,0.1174,0.1589,51.2%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.8,10,84.8%,88.6%,25.4%,63.2%,0.0923,0.1526,0.3161,0.1060,0.1174,0.1634,51.4%
HotRank,全网黑(反J型),blackout,scarcity,K,20,0.9,10,84.8%,88.6%,26.8%,61.8%,0.0923,0.1526,0.3207,0.1060,0.1174,0.1721,50.3%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.1,10,84.8%,88.6%,79.4%,9.2%,0.0923,0.1526,0.1955,0.1060,0.1174,0.1749,38.5%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.2,10,84.8%,88.6%,68.8%,19.8%,0.0923,0.1526,0.2016,0.1060,0.1174,0.1578,40.8%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.3,10,84.8%,88.6%,68.0%,20.6%,0.0923,0.1526,0.2077,0.1060,0.1174,0.1561,44.4%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.4,10,84.8%,88.6%,58.2%,30.4%,0.0923,0.1526,0.2179,0.1060,0.1174,0.1505,46.6%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.5,10,84.8%,88.6%,49.4%,39.2%,0.0923,0.1526,0.2303,0.1060,0.1174,0.1461,48.5%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.6,10,84.8%,88.6%,44.4%,44.2%,0.0923,0.1526,0.2392,0.1060,0.1174,0.1440,49.5%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.7,10,84.8%,88.6%,39.0%,49.6%,0.0923,0.1526,0.2549,0.1060,0.1174,0.1432,50.6%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.8,10,84.8%,88.6%,35.8%,52.8%,0.0923,0.1526,0.2738,0.1060,0.1174,0.1533,51.1%
HotRank,全网黑(反J型),blackout,scarcity,K,30,0.9,10,84.8%,88.6%,26.8%,61.8%,0.0923,0.1526,0.3250,0.1060,0.1174,0.1617,53.1%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.1,10,84.8%,88.6%,58.4%,30.2%,0.0923,0.1526,0.2244,0.1060,0.1174,0.1521,43.6%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.2,10,84.8%,88.6%,37.2%,51.4%,0.0923,0.1526,0.3058,0.1060,0.1174,0.1777,48.3%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.3,10,84.8%,88.6%,28.0%,60.6%,0.0923,0.1526,0.3323,0.1060,0.1174,0.1648,53.0%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.4,10,84.8%,88.6%,23.6%,65.0%,0.0923,0.1526,0.3506,0.1060,0.1174,0.1590,56.0%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.5,10,84.8%,88.6%,22.6%,66.0%,0.0923,0.1526,0.3588,0.1060,0.1174,0.1577,58.3%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.6,10,84.8%,88.6%,19.6%,69.0%,0.0923,0.1526,0.3782,0.1060,0.1174,0.1537,61.1%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.7,10,84.8%,88.6%,18.4%,70.2%,0.0923,0.1526,0.3875,0.1060,0.1174,0.1555,63.2%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.8,10,84.8%,88.6%,17.6%,71.0%,0.0923,0.1526,0.3915,0.1060,0.1174,0.1573,64.1%
HotRank,全网黑(反J型),blackout,suppression,Gamma,0.5,0.9,10,84.8%,88.6%,17.6%,71.0%,0.0923,0.1526,0.3905,0.1060,0.1174,0.1634,64.0%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.1,10,84.8%,88.6%,48.4%,40.2%,0.0923,0.1526,0.2549,0.1060,0.1174,0.1588,44.1%
HotRank,全网黑(反J型),blackout,suppression,Gamma,1.0,0.2,10,84.8%,88.6%,33.6%,55.0%,0.0923,0.1526,0.3204,0.1060,0.1174,0.1716,50.7%
