排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,激烈骂战(U型),polarization,scarcity,K,10,0.2,2,58.0%,85.0%,56.0%,29.0%,0.5106,0.4942,0.3711,0.3504,0.3638,0.2818,44.4%
HotRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.2,2,58.0%,85.0%,35.0%,50.0%,0.5106,0.4942,0.4111,0.3504,0.3638,0.2246,47.8%
TimeRank,激烈骂战(U型),polarization,scarcity,K,10,0.2,2,58.0%,78.0%,63.0%,15.0%,0.5106,0.3847,0.3279,0.3504,0.3350,0.2684,46.4%
TimeRank,激烈骂战(U型),polarization,suppression,Gamma,0.5,0.2,2,58.0%,78.0%,36.0%,42.0%,0.5106,0.3847,0.3993,0.3504,0.3350,0.2405,50.9%
